Learning_outcome,Remember,Understand,Apply,Analyze,Evaluate,Create
Examine gaps State and National policy context informing the provision mental health services to Aboriginal and Torres Strait Islander people and Culturally and Linguistically Diverse (CALD)  communities.,,,,1,,
examine giftedness and gender and how they interact to impact individuals' talent development,,,,1,,
Examine how different processes can be engaged to inform public health policy.,,,,1,,
"Examine how Indigenous design thinking and relational ways of knowing can provide solutions to complex issues, premised on their models of colonial resistance;",,,,1,,
examine how internationalising firms can gain and sustain competitive advantage,,,,1,,
examine how managers can use knowledge of OB to manage individual employees and teams,,,,1,,
examine how managers can use knowledge of organisational behaviour to manage individual employees and teams,,,,1,,
examine how not-for-profit organisations generate funds and attract human resources,,,,1,,1
examine how students can be supported through school wide literacy intervention plans.,,,,1,,
Examine how the nursing practice decision making framework determines the scope of practice of a registered nurse,,,,1,,
"examine individual differences of leaders and critically analyse the impact of their ethical practices, power and influence in organisations in Asia",,,,1,,
"examine institutions governing trade and labour standards, including international labour standards, trade agreements, and corporate codes of conduct",,,,1,,
Examine issues relevant to a health professional as well as reflect upon work completed as a team after participation in a community-based volunteering experience,,,,1,,
Examine issues relevant to a health professional as well as reflect upon work completed as a team after participation in a community-based volunteering experience.,,,,1,,
"Examine key elements attributed to cultural beliefs and practices within the local context (e.g. kinship, reciprocity).",,,,1,,
"examine key policy trends in relation to leadership, management and administration and how they are shaping the early childhood profession",,,,1,,
"Examine key social, economic and environmental determinants of health on status and outcomes in marginalised groups, including the Indigenous population.",,,,1,,
examine leaders' use of power and privilege to influence others in the creation and implementation of a shared vision of prosperity,,,,1,,
Examine leadership and management responsibilities and outcomes associated with the organisation of professional nursing practice,,,,1,,
Examine legal responsibilities associated with the administration and safe keeping of drugs within paramedic practice;,,,,1,,
"Examine long term consequences of burn injury for the individual, carer/family members and health care professionals.",,,,1,,
examine management practices which directly influence the success or otherwise of implementing a planned change process.,,,,1,,
Examine models of curriculum designs relevant to education and healthcare practice,,,,1,,
examine national and international policy initiatives on literacy from an historical perspective,,,,1,,
"examine neurodevelopmental, neurocognitive, behavioural, and psychological disorders",,,,1,,
Examine one's own conscious experience carefully and test it through various demonstrations.,,,,1,,
"Examine patient, local and organisational barriers to wound prevention and develop a plan for overcoming them.",,,,,,1
"Examine physical, cognitive, cultural and social factors of target user groups to critically analyse the design motives, methods, processes and results of a design solution;",,,,1,,
Examine potential complications associated with burn injury and suggest how these could be prevented.,,,,1,,
"examine problems of free-riding, incentives to vote, interest group influence, bureaucratic behaviour and constitutional frameworks",,,,1,,
Examine programs and policies designed to promote social inclusion and equity among young people from diverse backgrounds.,,,,1,,
Examine quality of life issues in relation to the individual with a non-healing wound or who is experiencing pain.,,,,1,,
